yaw_deg,pitch_deg,rmse_px,roi_width,roi_height
0,0,1.9982202207679072,110,110
0,10,2.281165770471693,114,113
0,20,3.2982614940206654,120,121
0,30,7.430438724786921,130,135
0,40,26.83044954037882,148,105
10,0,2.4331058155015053,113,114
10,10,2.579832069169492,117,117
10,20,4.8631139048115894,123,125
10,30,8.86588899184171,134,140
10,40,26.69495106816719,152,107
20,0,3.860801078058059,121,120
20,10,5.1977239377911735,128,123
20,20,11.741662872360102,138,132
20,30,14.624580430179178,154,149
20,40,32.62052003980388,180,111
30,0,7.967836106943028,135,130
30,10,8.858285282872972,146,134
30,20,15.41313177970596,148,144
30,30,25.191490759787797,144,158
30,40,38.002615633466405,138,117
40,0,27.138504559137537,105,148
40,10,19.427104424930857,107,152
40,20,31.2176449875736,106,163
40,30,54.064845105489894,101,167
40,40,95.26835254768024,91,127
